Employer,Title,Start Date,End Date,Type,Location,Description
Mechanistic,Senior Mechanical Engineer,8/1/2022,Present,Founder,San Francisco,Independent engineering consultancy specializing in consumer electronics and robotics.
Hyphen,Staff Mechanical Engineer,5/1/2021,8/1/2022,Full-time,San Jose,Lead engineer for foodservice automation platforms.
Mechanistic,Senior Mechanical Engineer,5/1/2018,5/1/2021,Contract,San Francisco,Consulting engagements for high-profile hardware startups.
Noon,Senior Mechanical Engineer,3/1/2017,5/1/2018,Full-time,Campbell,Lighting control systems and smart home IoT devices.
Avegant,Senior Mechanical Engineer,6/1/2015,3/1/2017,Full-time,Redwood City,Wearable display technology and AR headsets.
Kaleidescape,Senior Mechanical Design Engineer,5/1/2008,6/1/2015,Full-time,Sunnyvale,High-end cinema servers and disc automation robotics.
Digidesign,Senior Mechanical Designer,6/1/2003,5/1/2008,Full-time,Daly City,Pro-audio control surfaces and interfaces.
Mechanistic,Senior Mechanical Designer,12/1/1999,6/1/2003,Contract,Bay Area,"Early career consulting for Microsoft, WebTV, and Motorola."
frogdesign,Mechanical Designer,6/1/1997,12/1/1999,Full-time,Sunnyvale,Industrial design and mechanical engineering for diverse clients.
Mechanistic,Mechanical Designer,9/1/1993,6/1/1997,Contract,Bay Area,Design support for medical and consumer products.
Silicon Graphics,Technician IV,7/1/1989,9/1/1993,Full-time,Mountain View,Workstation assembly and mechanical support.
EP Technologies,Production Supervisor,6/1/1985,7/1/1989,Full-time,Mountain View,Manufacturing supervision for cardiac ablation systems.
