Slug Name,Industry,Category
dreamjob,Future Opportunity,12/31/2040
Freelance,Engineering Consulting,11/23/2025
Makeline,Automation & Robotics,8/24/2022
Dispensers,Automation & Robotics,8/24/2022
Backsplash,Automation & Robotics,12/31/2021
Portion Cup,Automation & Robotics,8/15/2021
Pet Scale,Consumer Electronics,3/15/2019
battery lock,Transportation / Mobility,4/15/2019
IOT module,Transportation / Mobility,2/1/2019
bay wheels,Transportation / Mobility,5/1/2019
Switches,Home Automation / IoT,3/1/2018
Extension Switches,Home Automation / IoT,2/1/2018
Room Director,Home Automation / IoT,1/1/2018
Wall Plates,Home Automation / IoT,2/1/2018
Base,Home Automation / IoT,5/1/2018
Glyph 2,Consumer Electronics,3/1/2017
Glyph,Consumer Electronics,3/1/2017
BFD,Transportation / Mobility,3/14/2024
Strato,Consumer Electronics,2/1/2015
Cinema One,Consumer Electronics,9/1/2013
M700,Consumer Electronics,7/1/2011
DV700,Consumer Electronics,7/2/2011
Disc Cartridges,Consumer Electronics,12/1/2010
K-Remote,Consumer Electronics,8/1/2009
Weemote,Consumer Electronics,8/1/2010
M500,Consumer Electronics,7/1/2010
M300,Consumer Electronics,5/1/2010
KSERVER-1500,Consumer Electronics,5/2/2010
KVAULT-10,Consumer Electronics,6/1/2011
Jewel,Consumer Electronics,4/1/2010
KSYSTEM-120,Consumer Electronics,6/1/2009
KSERVER-5000,Consumer Electronics,3/1/2009
Speed Reader,Consumer Electronics,2/1/2009
KSERVER-1500,Consumer Electronics,8/1/2008
KPLAYER-300,Consumer Electronics,1/1/2009
KPLAYER-6000,Consumer Electronics,1/2/2009
KPLAYER-5000,Consumer Electronics,12/1/2008
KPLAYER-2500,Consumer Electronics,12/2/2008
KSERVER-2500,Consumer Electronics,12/3/2008
Mbox 2 Micro,Pro Audio,4/1/2008
Rack 003,Pro Audio,10/1/2007
Mbox 2 Mini,Pro Audio,5/1/2007
Mbox 2 Pro,Pro Audio,11/1/2006
Digi 003,Pro Audio,2/1/2007
Control 24,Pro Audio,7/1/2007
Mbox 2,Pro Audio,11/1/2005
Profile,Pro Audio,7/1/2005
D-Show,Pro Audio,7/1/2005
D-Control,Pro Audio,3/1/2005
D-Command,Pro Audio,9/1/2004
Pro Control Jr,Pro Audio,4/1/2004
Rack 002,Pro Audio,10/1/2003
Mbox,Pro Audio,10/1/2003
Xbox,Consumer Electronics,12/1/2002
Receiver 5,Consumer Electronics,8/1/2002
Receiver 4,Consumer Electronics,5/1/2002
Receiver 3,Consumer Electronics,12/1/2001
Receiver 2,Consumer Electronics,11/1/2001
Mercury LC,Consumer Electronics,1/1/2002
usb box,Consumer Electronics,8/1/2001
Remotes,Consumer Electronics,8/1/2001
Receiver 1,Consumer Electronics,11/1/2001
Node,Home Automation / IoT,1/1/2001
Media Nodes,Home Automation / IoT,4/1/2001
MP6000 MP3 Player,Consumer Electronics,11/1/2000
Keyboard,Consumer Electronics,7/1/2000
LapTV,Consumer Electronics,6/1/2000
Remote,Consumer Electronics,5/1/2000
Netscreen-500,Enterprise & Computing,4/1/2000
SGI 320 540,Consumer Electronics,9/1/1998
HP Jornada,Consumer Electronics,7/1/1998
DVDO Player,Consumer Electronics,5/1/1998
Vadem Clio,Consumer Electronics,11/1/1997
KaVo Dental Unit 2,Medical Devices,12/1/1997
Acer Phone,Consumer Electronics,8/1/1997
KaVo Dental Unit 1,Medical Devices,10/1/1997
Acer subwoofer,Consumer Electronics,8/1/1997
Newscorp STB,Consumer Electronics,10/1/1997
PB Convertible,Consumer Electronics,3/1/1996
Acer Aspire,Consumer Electronics,5/1/1996
Fissler BBQ,Consumer Appliances,1/1/1996
Sunbeam toaster,Consumer Appliances,3/1/1995
Frantic Frames,Consumer Electronics,3/1/1993
Indy,Enterprise & Computing,1/1/1993
Indigo II,Enterprise & Computing,10/1/1992
Indigo,Enterprise & Computing,6/1/1991
Iris File,Enterprise & Computing,10/1/1990
Personal IRIS,Enterprise & Computing,11/1/1991
EPT-1000,Medical Devices,6/1/1989
